velocity,CO2,NOx
0,0.005662436,0.129820125
0,0.014879915,0.068845673
0.046111434,0.077483794,0.058352137
0.323232113,0.109562921,0.044643042
0.858863136,0.139471641,0.033865512
1.458613163,0.165650385,0.02466694
2.174206867,0.219996084,0.016619002
3.582677612,0.306484034,0.009809664
5.671367358,0.563914324,0
7.38717232,0.565064488,0
8.067692702,0.695741455,0
8.054318879,0.596812748,0
8.00346068,0.575285184,0
8.495805724,0.625687301,0
9.747859251,2.015990991,0
11.13745595,2.241788353,0
11.88439338,0.725777951,0
12.07426399,0.310037265,0
12.28884792,0.271293408,0
12.93629163,0.500276547,0
13.93932835,0.84329196,0
15.09501501,0.843027994,0
16.64046383,0.969252119,0
18.13143788,2.255919178,0
18.69200826,1.562601438,0
18.60223412,1.064342147,0
17.7589675,0.74469296,0
16.34175668,0.580369686,0
15.67803834,0.236783375,0
16.24422195,0.418762298,0
18.425775,2.143175028,0
21.45492704,2.854451286,0
23.23330642,3.097678728,0
23.5979032,1.347378456,0
22.73350218,1.260803146,0
20.26525957,0.308456577,0
17.92197744,0.076710522,0.015374777
17.1825369,0.197638777,0.12050429
17.90924406,0.906085368,0.207671826
20.43881789,2.783335872,1.190725635
24.0105704,4.241190877,5.598176992
26.47218261,2.923782067,7.934348448
27.16490896,2.067745033,7.899304459
26.64939518,1.191930508,6.866713485
24.82724007,0.886839533,6.286675697
22.15692088,0.220243355,1.743598775
20.22069272,0.063956502,0.790555721
19.64814241,0.234175892,2.379508099
20.35345146,2.490531816,2.602206459
22.56664961,3.143199488,6.072367728
25.18614827,2.72372669,5.628546697
26.60678731,2.68426786,5.63738327
26.9158168,1.510527434,3.936175003
26.50755731,1.187558681,1.91785352
25.11799828,0.973061767,1.483806465
22.84565392,0.254549318,0.387230327
20.01665716,0.127929252,0.196473547
17.625606,0.053938435,0.120036354
16.73935478,0.267944696,0.447369545
16.74534474,0.713421447,0.262826054
17.42552607,1.453030584,0.956062324
18.87581356,1.738060159,3.41665815
19.96293583,1.277739704,3.486791572
20.42077264,1.154323339,2.28632541
