velocity,RPM,CO2,NOx,NH3
0,841,0.005662436,0.129820125,0.008737212
0,811,0.014879915,0.068845673,0.004299638
0.046111434,801,0.077483794,0.058352137,0.005950199
0.323232113,801,0.109562921,0.044643042,0.006247597
0.858863136,796,0.139471641,0.033865512,0.006352695
1.458613163,786,0.165650385,0.02466694,0.006213601
2.174206867,803,0.219996084,0.016619002,0.00713552
3.582677612,783,0.306484034,0.009809664,0.008931249
5.671367358,862,0.563914324,0,0.009976357
7.38717232,938,0.565064488,0,0
8.067692702,1109,0.695741455,0,0
8.054318879,997,0.596812748,0,0
8.00346068,958,0.575285184,0,0
8.495805724,1067,0.625687301,0,0.000721968
9.747859251,1434,2.015990991,0,0
11.13745595,1670,2.241788353,0,0
11.88439338,861,0.725777951,0,0.015117468
12.07426399,799,0.310037265,0,0.007866073
12.28884792,800,0.271293408,0,0.009676545
12.93629163,859,0.500276547,0,0.012740171
13.93932835,925,0.84329196,0,0
15.09501501,967,0.843027994,0,0
16.64046383,1009,0.969252119,0,0
18.13143788,1225,2.255919178,0,0
18.69200826,1378,1.562601438,0,0
18.60223412,1330,1.064342147,0,0
17.7589675,1236,0.74469296,0,0.014993614
16.34175668,1092,0.580369686,0,0.014319296
15.67803834,962,0.236783375,0,0.00708358
16.24422195,1025,0.418762298,0,0.00269746
18.425775,1282,2.143175028,0,0
21.45492704,1455,2.854451286,0,0
23.23330642,1650,3.097678728,0,0
23.5979032,1662,1.347378456,0,0.08718237
22.73350218,1562,1.260803146,0,0.207828773
20.26525957,1413,0.308456577,0,0.058174666
17.92197744,1239,0.076710522,0.015374777,0.019881863
17.1825369,1154,0.197638777,0.12050429,0.053045525
17.90924406,1159,0.906085368,0.207671826,0.045846344
20.43881789,1353,2.783335872,1.190725635,0.101790438
24.0105704,1628,4.241190877,5.598176992,0.391847469
26.47218261,1815,2.923782067,7.934348448,0.88999806
27.16490896,1891,2.067745033,7.899304459,0.459982892
26.64939518,1831,1.191930508,6.866713485,0.406281649
24.82724007,1696,0.886839533,6.286675697,0.443140757
22.15692088,1534,0.220243355,1.743598775,0.08639734
20.22069272,1375,0.063956502,0.790555721,0.028838361
19.64814241,1275,0.234175892,2.379508099,0.09315774
20.35345146,1369,2.490531816,2.602206459,0.10817604
22.56664961,1577,3.143199488,6.072367728,0.174280619
25.18614827,1725,2.72372669,5.628546697,0.232928167
26.60678731,1844,2.68426786,5.63738327,0.262136176
26.9158168,1850,1.510527434,3.936175003,0.238593853
26.50755731,1810,1.187558681,1.91785352,0.250931701
25.11799828,1714,0.973061767,1.483806465,0.281291515
22.84565392,1564,0.254549318,0.387230327,0.084760686
20.01665716,1426,0.127929252,0.196473547,0.035956859
17.625606,1268,0.053938435,0.120036354,0.018211214
16.73935478,1214,0.267944696,0.447369545,0.067057777
16.74534474,1185,0.713421447,0.262826054,0.050761504
17.42552607,1252,1.453030584,0.956062324,0.048926826
18.87581356,1329,1.738060159,3.41665815,0.058309308
19.96293583,1393,1.277739704,3.486791572,0.063611169
20.42077264,1363,1.154323339,2.28632541,0.079091651
20.91451158,1354,1.299510979,1.496406623,0.085941743
21.79793734,1403,1.567217664,1.544073907,0.090608121
23.19540765,1511,2.780070092,4.130391496,0.13525988
24.48573668,1652,2.519921057,4.686625408,0.168755289
24.94824491,1727,2.065527731,4.138185583,0.171872033
24.83692196,1753,1.458977928,3.005240627,0.178511061
24.29021515,1687,1.102888444,1.608294024,0.221966634
23.4053955,1632,0.898788873,0.720262049,0.153189753
22.80342278,1627,1.049280878,0.57615046,0.135366637
22.57689659,1566,1.177172172,0.567581588,0.123506299
22.44911066,1558,1.196020698,0.555031185,0.125322131
22.24601692,1550,1.234215809,0.592728519,0.13325222
22.02853218,1541,1.388735662,0.603444134,0.131620005
