################################################################################
# START META
#
# ID: D_6_1499_70_EXA
# TOTAL KM: 1094.6
# TOTAL TIME [h]: 23.6 
# NUMBER OF VEHICLES: 10
# AVERAGE MILEAGE OF VEHICLES [km]: 12346
# REFERENCE DOI: 10.5281/zenodo.3669986
# AVAILABLE MAPS: VEHICLE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT, VEHICLE SPEED - CO2 - MEAN NH3 - STD - Q25 - Q75 - COUNT, ENGINE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT, ENGINE SPEED - CO2 - MEAN NH3 - STD - Q25 - Q75 - COUNT
# END META
################################################################################
# START VEHICLE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT
#
# NOTES: [Chassis dynamometer]
# XLABEL: Vehicle Speed upper bin limit [km/h]
# YLABEL: CO2 upper bin limit [g/s]
# Z1LABEL: Average NOx emissions [mg/s]
# Z2LABEL: Standard deviation NOx emissions [mg/s]
# Z3LABEL: 0.25 quantile NOx emissions [mg/s]
# Z4LABEL: 0.75 quantile NOx emissions [mg/s]
# Z5LABEL: Count per bin [#]
# START DATA VEHICLE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT
X,Y,Z1,Z2,Z3,Z4,Z5
5.253076472,0.20309685711538464,0.0037619387906197652,0.04537924106918175,0.0,0.0,597.0
5.253076472,0.4061937142307693,0.014343358154032749,0.09039663806396302,0.0,0.0,1649.0
5.253076472,0.6092905713461539,0.05020304692013887,0.2089380816081161,0.0,0.0,576.0
5.253076472,0.8123874284615386,0.11034198724242425,0.28571664394315777,0.0,0.0,330.0
5.253076472,1.0154842855769233,0.08200839381730768,0.24325914332339202,0.0,0.0,208.0
5.253076472,1.2185811426923079,0.09730835575862068,0.39735024530298985,0.0,0.0,145.0
5.253076472,1.4216779998076925,0.14266269707017543,0.4638422911615334,0.0,0.0,114.0
5.253076472,1.624774856923077,0.12390384922580644,0.5545514395514922,0.0,0.0,93.0
5.253076472,1.8278717140384617,0.16723688433333336,0.5771199401666977,0.0,0.0,54.0
5.253076472,2.0309685711538465,0.055528016848484844,0.22520379985100875,0.0,0.0,33.0
5.253076472,2.234065428269231,0.21400887405882352,0.5652004008602483,0.0,0.0,17.0
5.253076472,2.4371622853846158,0.0,0.0,0.0,0.0,20.0
5.253076472,2.6402591425,0.0,0.0,0.0,0.0,13.0
5.253076472,2.843355999615385,0.4613014122222222,1.085167231353463,0.0,0.0,9.0
5.253076472,3.0464528567307694,0.039426055,0.12467613295506984,0.0,0.0,10.0
5.253076472,3.249549713846154,0.5323771268,1.1083172894938724,0.0,0.150311986,5.0
5.253076472,3.452646570961539,0.0,0.0,0.0,0.0,0.0
5.253076472,3.6557434280769234,0.0,0.0,0.0,0.0,0.0
5.253076472,3.8588402851923083,0.78151072,0.8661934063614466,0.0,1.560949028,5.0
5.253076472,4.061937142307693,0.0,0.0,0.0,0.0,0.0
5.253076472,4.2650339994230775,0.0,0.0,0.0,0.0,0.0
5.253076472,4.468130856538462,0.0,0.0,0.0,0.0,0.0
5.253076472,4.671227713653846,0.0,0.0,0.0,0.0,0.0
5.253076472,4.8743245707692315,0.0,0.0,0.0,0.0,0.0
5.253076472,5.077421427884616,0.0,0.0,0.0,0.0,0.0
5.253076472,5.280518285,0.0,0.0,0.0,0.0,0.0
5.253076472,5.483615142115386,0.0,0.0,0.0,0.0,0.0
5.253076472,5.68671199923077,0.0,0.0,0.0,0.0,0.0
5.253076472,5.889808856346154,0.0,0.0,0.0,0.0,0.0
5.253076472,6.092905713461539,0.0,0.0,0.0,0.0,0.0
5.253076472,6.296002570576924,0.0,0.0,0.0,0.0,0.0
5.253076472,6.499099427692308,0.0,0.0,0.0,0.0,0.0
5.253076472,6.702196284807693,0.0,0.0,0.0,0.0,0.0
5.253076472,6.905293141923078,0.0,0.0,0.0,0.0,0.0
5.253076472,7.1083899990384625,0.0,0.0,0.0,0.0,0.0
5.253076472,7.311486856153847,0.0,0.0,0.0,0.0,0.0
5.253076472,7.514583713269231,0.0,0.0,0.0,0.0,0.0
5.253076472,7.7176805703846165,0.0,0.0,0.0,0.0,0.0
5.253076472,7.920777427500001,0.0,0.0,0.0,0.0,0.0
5.253076472,8.123874284615386,0.0,0.0,0.0,0.0,0.0
5.253076472,8.32697114173077,0.0,0.0,0.0,0.0,0.0
5.253076472,8.530067998846155,0.0,0.0,0.0,0.0,0.0
5.253076472,8.73316485596154,0.0,0.0,0.0,0.0,0.0
5.253076472,8.936261713076924,0.0,0.0,0.0,0.0,0.0
5.253076472,9.139358570192309,0.0,0.0,0.0,0.0,0.0
5.253076472,9.342455427307693,0.0,0.0,0.0,0.0,0.0
5.253076472,9.545552284423078,0.0,0.0,0.0,0.0,0.0
5.253076472,9.748649141538463,0.0,0.0,0.0,0.0,0.0
5.253076472,9.951745998653847,0.0,0.0,0.0,0.0,0.0
5.253076472,10.154842855769232,0.0,0.0,0.0,0.0,0.0
5.253076472,10.357939712884617,0.0,0.0,0.0,0.0,0.0
10.506152944,0.20309685711538464,0.008516282815573768,0.07069364514904697,0.0,0.0,732.0
10.506152944,0.4061937142307693,0.01852883415132275,0.1118947427214144,0.0,0.0,945.0
10.506152944,0.6092905713461539,0.052233293836111104,0.1856557923282156,0.0,0.0,360.0
10.506152944,0.8123874284615386,0.11322286898351648,0.31866911574571405,0.0,0.0,182.0
10.506152944,1.0154842855769233,0.1009734384090909,0.29980816237908375,0.0,0.0,132.0
