################################################################################
# START META
#
# ID: D_6_1499_70_EXA
# TOTAL KM: 5367.2
# TOTAL TIME [h]:  105.9 hours of data 
# NUMBER OF VEHICLES: 1
# AVERAGE MILEAGE OF VEHICLES [km]: n/a
# REFERENCE DOI: 10.5281/zenodo.4268034
# AVAILABLE MAPS: VEHICLE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT, VEHICLE SPEED - CO2 - MEAN NH3 - STD - Q25 - Q75 - COUNT, ENGINE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT, ENGINE SPEED - CO2 - MEAN NH3 - STD - Q25 - Q75 - COUNT
# END META
################################################################################
# START VEHICLE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT
#
# NOTES: [SEMS]
# XLABEL: Vehicle Speed upper bin limit [km/h]
# YLABEL: CO2 upper bin limit [g/s]
# Z1LABEL: Average NOx emissions [mg/s]
# Z2LABEL: Standard deviation NOx emissions [mg/s]
# Z3LABEL: 0.25 quantile NOx emissions [mg/s]
# Z4LABEL: 0.75 quantile NOx emissions [mg/s]
# Z5LABEL: Count per bin [#]
# START DATA VEHICLE SPEED - CO2 - MEAN NOx - STD - Q25 - Q75 - COUNT
X,Y,Z1,Z2,Z3,Z4,Z5
5.278128676470589,0.2035720183494345,0.15257902095430181,0.13845560479185076,0.058247181836098796,0.20905631705237898,358.0
5.278128676470589,0.407144036698869,0.26555005057290276,0.28097599041648824,0.0937959182188289,0.312138430055047,4129.0
5.278128676470589,0.6107160550483035,0.3239043314634275,0.36641311605402677,0.11387182806011026,0.406658175381273,1790.0
5.278128676470589,0.814288073397738,0.5329123772798288,2.3634097303444945,0.10657338785835149,0.509243220130528,543.0
5.278128676470589,1.0178600917471725,0.36124810651686906,0.5075130646290691,0.07277692923161015,0.447928736449821,258.0
5.278128676470589,1.221432110096607,0.4022141830488748,0.7194477552010499,0.0626801921745838,0.440745412147882,161.0
5.278128676470589,1.4250041284460415,0.5088002542442727,1.4850137984025789,0.0,0.433090163305139,134.0
5.278128676470589,1.628576146795476,0.3434813268255623,0.6391898433649378,0.0,0.44320980944974603,128.0
5.278128676470589,1.8321481651449105,0.6327082850838704,1.7836437324414702,0.0,0.5252623265987608,90.0
5.278128676470589,2.035720183494345,0.3368442667127222,0.9685436717773925,0.0,0.35292980623602704,109.0
5.278128676470589,2.2392922018437798,1.2566000981945213,6.431157616704508,0.0,0.525302471106766,105.0
5.278128676470589,2.442864220193214,0.5345273162681594,1.6087926328729005,0.0,0.48436218388507923,100.0
5.278128676470589,2.6464362385426483,0.9349653696573588,1.639039963096636,0.0,1.03985444850543,75.0
5.278128676470589,2.850008256892083,1.8293165800119011,3.4477983354770694,0.0,1.885378915676345,70.0
5.278128676470589,3.0535802752415178,3.7687683486311547,11.44631276505912,0.0,1.97867095157059,57.0
5.278128676470589,3.257152293590952,1.8437398385140036,2.922209031686902,0.1215302816067516,1.6911194860558776,42.0
5.278128676470589,3.4607243119403863,5.2983296177792205,8.279243504525418,0.2874600699987845,6.7388899296789155,35.0
5.278128676470589,3.664296330289821,8.593218890326959,17.858277854403063,0.41576516228402927,8.169516929212872,24.0
5.278128676470589,3.8678683486392558,5.373491203482935,7.961059772738023,0.030621072179544823,8.031225450497665,20.0
5.278128676470589,4.07144036698869,8.24278100578694,7.27106484326699,2.3038777573924154,13.00028451965775,14.0
5.278128676470589,4.275012385338124,9.263407637892236,13.032603488611615,1.727376751252445,11.893034918285121,10.0
5.278128676470589,4.4785844036875595,0.0,0.0,0.0,0.0,0.0
5.278128676470589,4.682156422036994,3.310512822893927,5.8367664221172255,0.0,3.0929715457417286,8.0
5.278128676470589,4.885728440386428,1.3437544704024997,2.358019847276344,0.0,1.04552806323297,5.0
5.278128676470589,5.089300458735862,0.0,0.0,0.0,0.0,0.0
5.278128676470589,5.292872477085297,0.0,0.0,0.0,0.0,0.0
5.278128676470589,5.496444495434732,0.0,0.0,0.0,0.0,0.0
5.278128676470589,5.700016513784166,1.826297648468028,1.4512756943314753,1.32902458804869,2.3420547298045498,5.0
5.278128676470589,5.9035885321336,0.0,0.0,0.0,0.0,0.0
5.278128676470589,6.1071605504830355,0.0,0.0,0.0,0.0,0.0
5.278128676470589,6.31073256883247,0.0,0.0,0.0,0.0,0.0
5.278128676470589,6.514304587181904,0.0,0.0,0.0,0.0,0.0
5.278128676470589,6.717876605531338,0.0,0.0,0.0,0.0,0.0
5.278128676470589,6.921448623880773,0.0,0.0,0.0,0.0,0.0
5.278128676470589,7.125020642230208,0.0,0.0,0.0,0.0,0.0
5.278128676470589,7.328592660579642,0.0,0.0,0.0,0.0,0.0
5.278128676470589,7.532164678929076,0.0,0.0,0.0,0.0,0.0
5.278128676470589,7.7357366972785115,0.0,0.0,0.0,0.0,0.0
5.278128676470589,7.939308715627946,0.0,0.0,0.0,0.0,0.0
5.278128676470589,8.14288073397738,0.0,0.0,0.0,0.0,0.0
5.278128676470589,8.346452752326815,0.0,0.0,0.0,0.0,0.0
5.278128676470589,8.550024770676249,0.0,0.0,0.0,0.0,0.0
5.278128676470589,8.753596789025684,0.0,0.0,0.0,0.0,0.0
5.278128676470589,8.957168807375119,0.0,0.0,0.0,0.0,0.0
5.278128676470589,9.160740825724552,0.0,0.0,0.0,0.0,0.0
5.278128676470589,9.364312844073988,0.0,0.0,0.0,0.0,0.0
5.278128676470589,9.567884862423421,0.0,0.0,0.0,0.0,0.0
5.278128676470589,9.771456880772856,0.0,0.0,0.0,0.0,0.0
